pattern_id,pattern_name,feature,weight,abs_weight
fj:JiuTongWan_JinKui,九痛丸证（胸痹）,【金匮9-10】,1.6669,1.6669
fj:JuPiTang,橘皮汤证（金匮）,【金匮11-12】,5.1082,5.1082
fj:JuPiTang,橘皮汤证（金匮）,zz:GanOuNi,2.1443,2.1443
fj:JuPiTang,橘皮汤证（金匮）,zz:ShouZuJue,0.4147,0.4147
fj:JuPiTang_JinKui,橘皮汤证（呕吐）,【金匮11-12】,5.1082,5.1082
fj:JuPiTang_JinKui,橘皮汤证（呕吐）,zz:GanOuNi,2.1443,2.1443
fj:JuPiTang_JinKui,橘皮汤证（呕吐）,zz:ShouZuJue,0.4147,0.4147
fj:JuPiZhiShiShengJiangTang,橘皮枳实生姜汤证,zz:DuanQi__AND__zz:XiongBi,3.5069,3.5069
fj:JuPiZhiShiShengJiangTang,橘皮枳实生姜汤证,zz:XiongZhongQiSai,2.0743,2.0743
fj:JuPiZhiShiShengJiangTang,橘皮枳实生姜汤证,【金匮9-6】,1.7419,1.7419
fj:JuPiZhiShiShengJiangTang_JinKui,橘皮枳实生姜汤证（胸痹）,zz:DuanQi__AND__zz:XiongBi,3.5069,3.5069
fj:JuPiZhiShiShengJiangTang_JinKui,橘皮枳实生姜汤证（胸痹）,zz:XiongZhongQiSai,2.0743,2.0743
fj:JuPiZhiShiShengJiangTang_JinKui,橘皮枳实生姜汤证（胸痹）,【金匮9-6】,1.7419,1.7419
fj:JuPiZhuRuTang,橘皮竹茹汤证（金匮）,【金匮11-13】,3.4298,3.4298
fj:JuPiZhuRuTang,橘皮竹茹汤证（金匮）,zz:Xu,3.1216,3.1216
fj:JuPiZhuRuTang,橘皮竹茹汤证（金匮）,zz:NiNi,1.1158,1.1158
fj:JuPiZhuRuTang_JinKui,橘皮竹茹汤证（呕吐）,【金匮11-13】,3.4298,3.4298
fj:JuPiZhuRuTang_JinKui,橘皮竹茹汤证（呕吐）,zz:Xu,3.1216,3.1216
fj:JuPiZhuRuTang_JinKui,橘皮竹茹汤证（呕吐）,zz:NiNi,1.1158,1.1158
fj:KuShenTang,苦参汤方证,YanGan,5.6302,5.6302
fj:KuShenTang,苦参汤方证,ShiYuXiaBu,2.2644,2.2644
fj:KuiHuaFuLingSan,葵子茯苓散证,【金匮20-8】,7.8945,7.8945
fj:LangYaTang,狼牙汤证,zz:YinZhongChuang,3.3231,3.3231
fj:LangYaTang,狼牙汤证,【金匮22-21】,2.3563,2.3563
fj:LangYaTang,狼牙汤证,zz:ShiLan,2.2152,2.2152
fj:LiZhongJiaHuangQiTang,理中加黄芪汤证,【10.23】,7.8946,7.8946
fj:LingGuiZhuGanTang,苓桂术甘汤证,zz:MuXuan,2.7448,2.7448
fj:LingGuiZhuGanTang,苓桂术甘汤证,zz:XinXiaYouTanYin,2.2588,2.2588
fj:LingGuiZhuGanTang,苓桂术甘汤证,mx:Pulse_ChenXian,1.5129,1.5129
fj:LingGuiZhuGanTang,苓桂术甘汤证,zz:XiongXieZhiMan,1.1508,1.1508
fj:LingGuiZhuGanTang_JinKui,苓桂术甘汤证（痰饮）,zz:MuXuan,2.7448,2.7448
fj:LingGuiZhuGanTang_JinKui,苓桂术甘汤证（痰饮）,zz:XinXiaYouTanYin,2.2588,2.2588
fj:LingGuiZhuGanTang_JinKui,苓桂术甘汤证（痰饮）,mx:Pulse_ChenXian,1.5129,1.5129
fj:LingGuiZhuGanTang_JinKui,苓桂术甘汤证（痰饮）,zz:XiongXieZhiMan,1.1508,1.1508
fj:LiuHuangSan,硫黄散证,zz:HanZheng,7.8946,7.8946
fj:MaHuangFuZiGanCaoTang,麻黄附子甘草汤证,【11.22】,7.8946,7.8946
fj:MaHuangFuZiGanCaoTang_JinKui,麻黄附子甘草汤证（水气）,zz:MaiChen,4.1709,4.1709
fj:MaHuangFuZiGanCaoTang_JinKui,麻黄附子甘草汤证（水气）,zz:ShuiQi__AND__mx:Pulse_Chen,3.4964,3.4964
fj:MaHuangFuZiGanCaoTang_LiShui,麻黄附子甘草汤证（水气病）,zz:MaiChen,4.1709,4.1709
fj:MaHuangFuZiGanCaoTang_LiShui,麻黄附子甘草汤证（水气病）,zz:ShuiQi__AND__mx:Pulse_Chen,3.4964,3.4964
fj:MaHuangFuZiXiXinTang,麻黄附子细辛汤证,【11.21】,7.8946,7.8946
fj:MaHuangFuZiXiXinTang_JinKui,麻黄附子细辛汤证（金匮）,zz:FaRe__AND__mx:Pulse_Chen,7.8945,7.8945
fj:MaHuangJiaZhuTang,麻黄加术汤证,【金匮2-20】,6.0858,6.0858
fj:MaHuangJiaZhuTang,麻黄加术汤证,zz:ShenFanTeng,1.8087,1.8087
fj:MaHuangJiaZhuTang_JinKui,麻黄加术汤证（水气）,zz:ShenZhong__AND__zz:ShuiQi,3.911,3.911
fj:MaHuangJiaZhuTang_JinKui,麻黄加术汤证（水气）,zz:ShuiQi__AND__mx:Pulse_Fu,3.7562,3.7562
fj:MaHuangJiaZhuTang_LiShui,麻黄加术汤证（水气病）,zz:ShenZhong__AND__zz:ShuiQi,3.911,3.911
fj:MaHuangJiaZhuTang_LiShui,麻黄加术汤证（水气病）,zz:ShuiQi__AND__mx:Pulse_Fu,3.7562,3.7562
fj:MaHuangLianQiaoChiXiaoDouTang,麻黄连轺赤小豆汤证,jj:Shi,7.6673,7.6673
fj:MaHuangXingRenYiYiGanCaoTang,麻黄杏仁薏苡甘草汤证,zz:RiBuSuoJu,3.5997,3.5997
fj:MaHuangXingRenYiYiGanCaoTang,麻黄杏仁薏苡甘草汤证,【金匮2-21】,2.2329,2.2329
fj:MaHuangXingRenYiYiGanCaoTang,麻黄杏仁薏苡甘草汤证,zz:ShenYiShenTeng,2.062,2.062
fj:MaiMenDongTang,麦门冬汤证,zz:YanHouBuLi,3.4354,3.4354
fj:MaiMenDongTang,麦门冬汤证,zz:DaNiShangQi,2.7387,2.7387
fj:MaiMenDongTang,麦门冬汤证,【金匮7-10】,1.4932,1.4932
fj:MaiMenDongTang_JinKui,麦门冬汤证（肺痿肺痈）,zz:YanHouBuLi,3.4354,3.4354
fj:MaiMenDongTang_JinKui,麦门冬汤证（肺痿肺痈）,zz:DaNiShangQi,2.7387,2.7387
fj:MaiMenDongTang_JinKui,麦门冬汤证（肺痿肺痈）,【金匮7-10】,1.4932,1.4932
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang,木防己去石膏加茯苓芒硝汤证,zz:MianSeHei,4.0037,4.0037
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang,木防己去石膏加茯苓芒硝汤证,mx:Pulse_ChenJin,1.8984,1.8984
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang,木防己去石膏加茯苓芒硝汤证,zz:XinXiaPi__AND__zz:KeNi,1.4211,1.4211
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang_JinKui,木防己去石膏加茯苓芒硝汤证（痰饮）,zz:MianSeHei,4.0037,4.0037
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang_JinKui,木防己去石膏加茯苓芒硝汤证（痰饮）,mx:Pulse_ChenJin,1.8984,1.8984
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang_JinKui,木防己去石膏加茯苓芒硝汤证（痰饮）,zz:XinXiaPi__AND__zz:KeNi,1.4211,1.4211
fj:MuFangJiTang,木防己汤证,zz:MianSeHei,4.0037,4.0037
fj:MuFangJiTang,木防己汤证,mx:Pulse_ChenJin,1.8984,1.8984
fj:MuFangJiTang,木防己汤证,zz:XinXiaPi__AND__zz:KeNi,1.4211,1.4211
fj:MuFangJiTang_JinKui,木防己汤证（痰饮）,zz:MianSeHei,4.0037,4.0037
fj:MuFangJiTang_JinKui,木防己汤证（痰饮）,mx:Pulse_ChenJin,1.8984,1.8984
fj:MuFangJiTang_JinKui,木防己汤证（痰饮）,zz:XinXiaPi__AND__zz:KeNi,1.4211,1.4211
fj:MuLiSan,牡蛎散证,zz:XuFan,5.7994,5.7994
