pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:MaZiRenWan,麻子仁丸证,lj:Yangming_Instance,【9.71】,3,zz:XiaoBianShu(9.6184); mx:Pulse_Fu_Se(9.6184); zz:DaBianYing(7.6184)
fj:MiJianDao,蜜煎导方,lj:Yangming_Instance,【9.57】,1,zz:DaBianYing(7.6184)
fj:ZhiZiChiTang,栀子豉汤证,lj:Yangming_Instance,【9.52】,5,zz:JianAn(9.6184); sx:SheShangTaiHua(9.6184); zz:XinZhongAoNong(8.0334); zz:XuFan(8.0334); zz:HanChu(5.3705)
fj:YinChenHaoTang,茵陈蒿汤证,lj:Yangming_Instance,【9.83】,4,jj:Re(8.0334); zz:HuangDan(6.0334); zz:FuMan(5.6184); zz:XiaoBianBuLi(5.0948)
fj:ZhiZiBoPiTang,栀子柏皮汤证,lj:Yangming_Instance,【9.84】,3,jj:Re(8.0334); zz:HuangDan(6.0334); zz:FaRe(5.2965)
fj:MaHuangLianQiaoChiXiaoDouTang,麻黄连轺赤小豆汤证,lj:Yangming_Instance,【9.85】,4,jj:Shi(8.6184); zz:ShenRe(6.4485); zz:HuangDan(6.0334); zz:XiaoBianBuLi(5.0948)
fj:XiaoChaiHuTang,小柴胡汤证,lj:Shaoyang_Instance,【7.68】,8,zz:MomoBuYuYinShi(9.6184); zz:XinFanXiOu(9.6184); zz:YanGan(9.6184); zz:KouKu(8.6184); mx:Pulse_Xian(8.6184); zz:XiongXieKuMan(8.0334); zz:MuXuan(8.0334); zz:WangLaiHanRe(7.2965)
pattern_id,pattern_name,liujing,clause,4,symptom_list(7.0334); pulse_list(7.0334); tongue_list(7.0334); jianjia_list(7.0334)
fj:DaChaiHuTang,大柴胡汤证,lj:Shaoyang_Instance,【7.75】,5,jj:QiStagnation(9.6184); zz:FuManJuAn(8.0334); zz:ChaoRe(7.6184); zz:GanOu(5.7115); zz:XinXiaPi(5.2261)
fj:ChaiHuJiaMangXiaoTang,柴胡加芒硝汤证,lj:Shaoyang_Instance,【7.76】,3,zz:XiongXieKuMan(8.0334); zz:ChaoRe(7.6184); zz:GanOu(5.7115)
fj:ChaiHuJiaLongGuMuLiTang,柴胡加龙骨牡蛎汤证,lj:Shaoyang_Instance,【7.79】,6,zz:JingKong(8.6184); zz:FanZao(7.6184); zz:ZhanYu(7.6184); zz:ShenTiTengTong(6.6184); zz:XiongMan(6.0334); zz:XiaoBianBuLi(5.0948)
