pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:GuiZhiFuZiTang,桂枝附子汤证,lj:Taiyang_Instance,【金匮2-23】,5,zz:BuNengZiZhuanCe(9.6184); zz:BuOu(9.6184); BuKe(9.6184); zz:ShenTiTengFan(8.6184); mx:Pulse_FuXuErSe(8.6184)
fj:BaiZhuFuZiTang,白术附子汤证,lj:Taiyang_Instance,【金匮2-23】,4,zz:ShenTiTengFan(8.6184); mx:Pulse_FuXuErSe(8.6184); zz:DaBianJian(8.0334); zz:XiaoBianZiLi(8.0334)
fj:GanCaoFuZiTang,甘草附子汤证,lj:Taiyang_Instance,,7,zz:CheTong(9.6184); 【金匮2-24】(9.6184); zz:GuJieTengFan(8.6184); zz:DuanQi(6.811); zz:EFeng(6.2965); zz:HanChu(5.3705); zz:XiaoBianBuLi(5.0948)
fj:BaiHuJiaRenShenTang_JinKui,白虎加人参汤证（金匮）,lj:Yangming_Instance,【金匮2-26】,5,mx:Pulse_Hong(7.6184); zz:ShenRe(6.4485); zz:EFeng(6.2965); zz:Ke(5.811); zz:HanChu(5.3705)
fj:YiWuGuaDiTang,一物瓜蒂汤证,lj:Taiyang_Instance,【金匮2-27】,3,zz:TengZhong(9.6184); mx:Pulse_WeiRuo(8.6184); zz:ShenRe(6.4485)
fj:BaiHeZhiMuTang,百合知母汤证,lj:Taiyang_Instance,,2,【金匮3-1】(9.6184); zz:BaiHeBing(6.811)
fj:BaiHeHuaShiDaiZheTang,百合滑石代赭汤证,lj:Taiyang_Instance,,2,【金匮3-2】(9.6184); zz:BaiHeBing(6.811)
fj:BaiHeJiZiHuangTang,百合鸡子黄汤证,lj:Taiyang_Instance,,2,【金匮3-3】(9.6184); zz:BaiHeBing(6.811)
fj:BaiHeDiHuangTang,百合地黄汤证,lj:Taiyang_Instance,【金匮3-5】,4,zz:XiaoBianChi(9.6184); mx:Pulse_WeiShu(9.6184); zz:KouKu(8.6184); zz:BaiHeBing(6.811)
fj:BaiHeXiFang,百合洗方证,lj:Taiyang_Instance,,3,BianChengKe(8.6184); 【金匮3-6】(8.6184); zz:BaiHeBing(6.811)
fj:GuaLouMuLiSan,栝蒌牡蛎散证,lj:Taiyang_Instance,,3,BianChengKe(8.6184); 【金匮3-6】(8.6184); zz:BaiHeBing(6.811)
fj:BaiHeHuaShiSan,百合滑石散证,lj:Taiyang_Instance,,3,BianFaRe(9.6184); 【金匮3-7】(9.6184); zz:BaiHeBing(6.811)
fj:GanCaoXieXinTang_JinKui,甘草泻心汤证（金匮）,lj:Taiyang_Instance,,5,zz:ShengGa(9.6184); zz:MuBuDeBi(9.6184); zz:WoQiBuAn(8.6184); zz:HuHuoBing(8.0334); 【金匮3-10】(8.0334)
fj:KuShenTang,苦参汤方证,lj:Taiyang_Instance,,4,ShiYuXiaBu(9.6184); YanGan(9.6184); zz:HuHuoBing(8.0334); 【金匮3-10】(8.0334)
fj:XiongHuangSan,雄黄散方证,lj:Taiyang_Instance,,3,ShiYuGang(9.6184); zz:HuHuoBing(8.0334); 【金匮3-10】(8.0334)
fj:ChiXiaoDouDangGuiSan,赤小豆当归散证,lj:Taiyang_Instance,,4,zz:MuChiRuJiuYan(9.6184); zz:MuSiJieHei(9.6184); 【金匮3-13】(9.6184); zz:NengShi(8.6184)
fj:ShengMaBieJiaTang,升麻鳖甲汤证,lj:Taiyang_Instance,,4,zz:MianChiBanBanRuJinWen(9.6184); zz:TuoNongXue(9.6184); 【金匮3-14】(9.6184); zz:YanHouTong(8.6184)
fj:ShengMaBieJiaQuXiongHuangShuJiaoTang,升麻鳖甲去雄黄蜀椒汤证,lj:Taiyang_Instance,,4,zz:MianMuQing(9.6184); zz:ShenTongRuBeiZhang(9.6184); 【金匮3-15】(9.6184); zz:YanHouTong(8.6184)
fj:BieJiaJianWan,鳖甲煎丸证,lj:Shaoyang_Instance,,2,zz:NueMu(9.6184); 【金匮4-2】(9.6184)
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,lj:Yangming_Instance,,6,zz:DanRe(9.6184); zz:ShaoQi(9.6184); Fan(9.6184); zz:ShouZuRe(9.6184); 【金匮4-4】(9.6184); zz:YuOu(7.6184)
fj:BaiHuJiaGuiZhiTang,白虎加桂枝汤证,lj:Yangming_Instance,,4,zz:ShenWuHanDanRe(9.6184); zz:ShiZuoOu(9.6184); 【金匮4-5】(9.6184); zz:GuJieTengFan(8.6184)
fj:ShuQiSan,蜀漆散证,lj:Shaoyang_Instance,,3,zz:DuoHan(9.6184); zz:DanHanBuRe(8.6184); 【金匮4-6】(8.6184)
fj:ChaiHuGuiJiangTang,柴胡桂姜汤证,lj:Shaoyang_Instance,,3,zz:NueDuoHan(9.6184); zz:DanHanBuRe(8.6184); 【金匮4-6】(8.6184)
fj:GuiZhiShaoYaoZhiMuTang,桂枝芍药知母汤证,lj:Jueyin_Instance,,6,zz:ZhiJieTengTong(8.6184); zz:ShenTiWangLei(8.6184); zz:JiaoZhongRuTuo(8.6184); zz:TouXuanDuanQi(8.6184); zz:YuTu(8.6184); 【金匮5-8】(8.6184)
pattern_id,pattern_name,liujing,clause,4,symptom_list(7.0334); pulse_list(7.0334); tongue_list(7.0334); jianjia_list(7.0334)
fj:WuTouTang,乌头汤证,lj:Taiyang_Instance,,3,zz:LiJieBuKeQuShen(8.6184); zz:TengTong(8.6184); 【金匮5-10】(8.6184)
fj:QiWeiShuQiWan,肾气丸证（虚劳）,lj:Shaoyin_Instance,,4,zz:XuLaoYaoTong(8.6184); zz:ShaoFuJuJi(8.6184); 【金匮6-15】(8.6184); zz:XiaoBianBuLi(5.0948)
fj:MaHuangFuZiXiXinTang_JinKui,麻黄附子细辛汤证（金匮）,lj:Shaoyin_Instance,【金匮6-16】,2,mx:Pulse_Chen(5.7115); zz:FaRe(5.2965)
fj:DaHuangZheChongWan,大黄?虫丸证,lj:Jueyin_Instance,,3,zz:JiFuJiaCuo(8.6184); zz:LiangMuAnHei(8.6184); 【金匮6-18】(8.6184)
fj:SheGanMaHuangTang,射干麻黄汤证,lj:Taiyang_Instance,,3,zz:HouZhongShuiJiSheng(8.6184); 【金匮7-6】(8.6184); zz:KeNiShangQi(7.6184)
fj:ZaoJiaoWan,皂荚丸证,lj:Taiyang_Instance,,4,zz:ShiShiTuZhuo(8.6184); zz:DanZuoBuDeMian(8.6184); 【金匮7-7】(8.6184); zz:KeNiShangQi(7.6184)
fj:HouPoMaHuangTang,厚朴麻黄汤证,lj:Taiyang_Instance,【金匮7-8】,2,mx:Pulse_Fu(5.9179); zz:Ke(5.811)
fj:ZeQiTang,泽漆汤证,lj:Taiyin_Instance,【金匮7-9】,2,zz:Ke(5.811); mx:Pulse_Chen(5.7115)
fj:MaiMenDongTang,麦门冬汤证,lj:Yangming_Instance,,3,zz:DaNiShangQi(8.6184); 【金匮7-10】(8.6184); zz:YanHouBuLi(8.0334)
fj:QianJinWeiJingTang,葶苈大枣泻肺汤证,lj:Taiyang_Instance,,3,TuNongRuMiZhou(9.6184); zz:FeiYong(8.6184); 【金匮7-11】(8.6184)
fj:YueBiJiaBanXiaTang,越婢加半夏汤证,lj:Taiyang_Instance,【金匮7-13】,3,zz:MuRuTuoZhuang(8.6184); mx:Pulse_FuDa(8.6184); zz:FeiZhang(7.6184)
fj:XiaoQingLongJiaShiGaoTang,小青龙加石膏汤证,lj:Taiyang_Instance,【金匮7-14】,3,zz:KeErQiChuan(8.6184); zz:FeiZhang(7.6184); mx:Pulse_Fu(5.9179)
fj:GanCaoGanJiangTang,甘草干姜汤证,lj:Taiyin_Instance,,3,【金匮7-5】(9.6184); zz:TuXianMo(7.2965); zz:BuKe(6.811)
fj:BenQiTang,奔豚汤证,lj:ChongRen,,5,zz:BenQi(8.6184); 【金匮8-2】(8.6184); zz:QiShangChongXiong(8.0334); zz:WangLaiHanRe(7.2965); zz:FuTong(5.2965)
fj:GuaLouXieBaiBaiJiuTang,瓜蒌薤白白酒汤证,lj:Taiyin_Instance,【金匮9-3】,5,zz:ChuanXiKeChuo(8.6184); zz:XiongBeiTong(8.6184); mx:Pulse_ChenChi(8.6184); GuanShangXiaoJinShu(8.6184); zz:XiongBi(5.3705)
fj:GuaLouXieBaiBanXiaTang,瓜蒌薤白半夏汤证,lj:Taiyin_Instance,,4,zz:XinTongCheBei(8.6184); 【金匮9-4】(8.6184); zz:BuDeWo(8.0334); zz:XiongBi(5.3705)
fj:ZhiShiXieBaiGuiZhiTang,枳实薤白桂枝汤证,lj:Taiyin_Instance,,5,zz:XinZhongPi(7.6184); zz:XieXiaNiQiangXin(7.6184); 【金匮9-5】(7.6184); zz:XiongMan(6.0334); zz:XiongBi(5.3705)
fj:RenShenTang,人参汤证,lj:Taiyin_Instance,,5,zz:XinZhongPi(7.6184); zz:XieXiaNiQiangXin(7.6184); 【金匮9-5】(7.6184); zz:XiongMan(6.0334); zz:XiongBi(5.3705)
fj:FuLingXingRenGanCaoTang,茯苓杏仁甘草汤证,lj:Taiyin_Instance,,4,zz:XiongZhongQiSai(7.6184); 【金匮9-6】(7.6184); zz:DuanQi(6.811); zz:XiongBi(5.3705)
fj:JuPiZhiShiShengJiangTang,橘皮枳实生姜汤证,lj:Taiyin_Instance,,4,zz:XiongZhongQiSai(7.6184); 【金匮9-6】(7.6184); zz:DuanQi(6.811); zz:XiongBi(5.3705)
fj:YiYiFuZiSan,薏苡附子散证,lj:Taiyin_Instance,,3,zz:ShiHuanShiJi(8.6184); 【金匮9-7】(8.6184); zz:XiongBi(5.3705)
fj:GuiZhiShengJiangZhiShiTang,桂枝生姜枳实汤证,lj:Taiyin_Instance,,3,zz:XinZhongXuanTong(8.6184); 【金匮9-8】(8.6184); zz:XiongBi(5.3705)
fj:WuTouChiShiZhiWan,乌头赤石脂丸证,lj:Taiyin_Instance,,3,zz:XiongTongCheBei(8.6184); zz:CheBeiTongXiong(8.6184); 【金匮9-9】(8.6184)
fj:HouPoQiWuTang,厚朴七物汤证,lj:Yangming_Instance,【金匮10-9】,3,mx:Pulse_FuShu(8.6184); zz:FuMan(5.6184); zz:FaRe(5.2965)
fj:FuZiJingMiTang,附子粳米汤证,lj:Taiyin_Instance,,5,【金匮10-10】(8.6184); zz:FuZhongQieTong(8.0334); zz:LeiMing(8.0334); zz:NiMan(8.0334); zz:OuTu(6.6184)
fj:DaJianZhongTang,大建中汤证,lj:Taiyin_Instance,,5,zz:FuZhongHan(8.6184); zz:ShangChongPiQi(8.6184); 【金匮10-14】(8.6184); zz:FuZhongHanTong(8.0334); zz:OuBuNengShi(7.6184)
fj:DaHuangFuZiXiXinTang,大黄附子细辛汤证,lj:Taiyin_Instance,【金匮10-15】,4,mx:Pulse_XianJin(8.6184); zz:XieXiaPianTong(8.0334); zz:FaWeiRe(8.0334); zz:FuMan(5.6184)
fj:DaWuTouJian_JinKui,大乌头煎证（金匮）,lj:Taiyin_Instance,,4,【金匮10-17】(8.6184); zz:RaoQiErTong(8.0334); zz:ShouZuJueLeng(7.6184); zz:HanShan(6.2965)
fj:DangGuiShengJiangYangRouTang_JinKui,当归生姜羊肉汤证（金匮）,lj:Taiyin_Instance,,4,【金匮10-18】(8.6184); zz:XieTongLiJi(8.0334); zz:FuZhongTong(7.0334); zz:HanShan(6.2965)
fj:WuTouGuiZhiTang_JinKui,乌头桂枝汤证（金匮）,lj:Taiyin_Instance,,6,【金匮10-19】(8.6184); zz:ShouZuBuRen(8.0334); zz:NiLeng(8.0334); zz:FuZhongTong(7.0334); zz:ShenTiTengTong(6.6184); zz:HanShan(6.2965)
fj:ZhiZhuSan,蜘蛛散证（金匮）,lj:Jueyin_Instance,,4,【金匮10-20】(9.6184); zz:PianYouDaXiao(8.6184); zz:ShiYouShangXia(8.6184); zz:GuShan(8.0334)
fj:ShengJiangBanXiaTang,生姜半夏汤证,lj:Taiyin_Instance,,5,zz:XiongZhongSiChuanBuChuan(8.6184); zz:SiOuBuOu(8.6184); zz:SiNiBuNi(8.6184); zz:XinZhongFenFenRan(8.6184); 【金匮11-11】(8.6184)
fj:JuPiTang,橘皮汤证（金匮）,lj:Taiyin_Instance,,3,zz:GanOuNi(8.6184); 【金匮11-12】(8.6184); zz:ShouZuJue(8.0334)
fj:JuPiZhuRuTang,橘皮竹茹汤证（金匮）,lj:Taiyin_Instance,,3,【金匮11-13】(8.6184); zz:NiNi(8.0334); zz:Xu(8.0334)
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（金匮诸呕）,lj:Taiyin_Instance,,3,【金匮11-14】(8.6184); zz:ZhuOu(8.0334); zz:GuBuDeXia(8.0334)
fj:GanJiangBanXiaTang,干姜半夏汤证,lj:Taiyin_Instance,,3,【金匮11-15】(8.6184); zz:TuXianMo(7.2965); zz:GanOu(5.7115)
fj:FuLingGanCaoTang_JinKui,茯苓甘草汤证（金匮）,lj:Taiyin_Instance,,2,zz:JueErXinXiaJi(8.6184); 【金匮11-16】(8.6184)
fj:ZhuFuTang_JinKui,猪肤汤证（金匮）,lj:Shaoyin_Instance,,5,【金匮11-17】(9.6184); zz:YanTong(7.6184); zz:XinFan(7.0334); zz:XiongMan(6.0334); zz:XiaLi(5.7115)
fj:GanCaoXieXinTang_ZhuOu,甘草泻心汤证（金匮诸呕）,lj:Taiyin_Instance,,2,【金匮11-18】(9.6184); zz:Ou(8.0334)
fj:BanXiaXieXinTang_JinKui,半夏泻心汤证（金匮）,lj:Shaoyang_Instance,,3,zz:OuErChangMing(8.6184); 【金匮11-19】(8.6184); zz:XinXiaPi(5.2261)
fj:HuangLianTang_JinKui,黄连汤证（金匮）,lj:Taiyang_Instance,,3,【金匮11-20】(8.6184); zz:YuOu(7.6184); zz:FuTong(5.2965)
fj:SiNiTang_JinKui,四逆汤证（金匮）,lj:Shaoyin_Instance,,5,zz:OuErMaiRuo(9.6184); zz:XiaoBianFuLi(9.6184); zz:ShenWeiRe(9.6184); zz:JianJue(9.6184); 【金匮11-21】(9.6184)
fj:GanJiangHuangQinHuangLianRenShenTang_JinKui,干姜黄芩黄连人参汤证（金匮）,lj:Jueyin_Instance,,2,【金匮11-22】(8.6184); zz:ShiRuKouJiTu(8.0334)
fj:ZeQiTang_ShuiQi,泽漆汤证（水气）,lj:Taiyin_Instance,【金匮12-21】,3,zz:ShuiZhong(8.6184); zz:Ke(5.811); mx:Pulse_Chen(5.7115)
fj:MuFangJiTang,木防己汤证,lj:Taiyin_Instance,【金匮12-24】,4,zz:MianSeHei(7.6184); mx:Pulse_ChenJin(7.6184); zz:KeNi(5.811); zz:XinXiaPi(5.2261)
fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang,木防己去石膏加茯苓芒硝汤证,lj:Taiyin_Instance,【金匮12-24】,4,zz:MianSeHei(7.6184); mx:Pulse_ChenJin(7.6184); zz:KeNi(5.811); zz:XinXiaPi(5.2261)
fj:ZeXieTang,泽泻汤证,lj:Taiyin_Instance,,3,zz:XinXiaYouZhiYin(8.6184); zz:TouYun(8.6184); 【金匮12-25】(8.6184)
fj:FuLingJianZhongTang,茯苓建中汤证,lj:Taiyin_Instance,,3,zz:XinXiaYin(8.6184); 【金匮12-26】(8.6184); zz:FuMan(5.6184)
fj:GanSuiBanXiaTang,甘遂半夏汤证,lj:Taiyin_Instance,,3,zz:LiuYin(8.6184); zz:XinXiaJianMan(8.6184); 【金匮12-27】(8.6184)
fj:ShiZaoTang_JinKui,十枣汤证（金匮）,lj:Taiyang_Instance,,3,zz:KeXieYinTong(8.6184); 【金匮12-28】(8.6184); zz:XuanYin(8.0334)
fj:DaQingLongTang_JinKui,大青龙汤证（金匮）,lj:Taiyang_Instance,,3,zz:YiYin(7.6184); zz:ShenTiTengZhong(7.6184); 【金匮12-29】(7.6184)
fj:XiaoQingLongTang_JinKui,小青龙汤证（金匮）,lj:Taiyang_Instance,,3,zz:YiYin(7.6184); zz:ShenTiTengZhong(7.6184); 【金匮12-29】(7.6184)
fj:LingGuiZhuGanTang,苓桂术甘汤证,lj:Taiyin_Instance,【金匮12-30】,4,zz:XinXiaYouTanYin(8.6184); zz:XiongXieZhiMan(8.6184); mx:Pulse_ChenXian(8.6184); zz:MuXuan(8.0334)
fj:ZeXieTang_JinKui,泽泻汤证（金匮）,lj:Taiyin_Instance,,2,zz:KuMaoXuan(8.6184); 【金匮12-31】(8.6184)
fj:FuLingGanCaoTang_ZhiYin,茯苓甘草汤证（支饮）,lj:Taiyin_Instance,,3,【金匮12-32】(8.6184); zz:ZhiYin(6.0334); zz:KeNi(5.811)
fj:HouPoDaHuangTang,厚朴大黄汤证,lj:Yangming_Instance,,3,【金匮12-33】(8.6184); zz:ZhiYin(6.0334); zz:XiongMan(6.0334)
fj:XuanFuHuaTang,旋覆花汤证,lj:Jueyin_Instance,,3,zz:ChangYuTaQiXiongShang(8.6184); 【金匮12-34】(8.6184); zz:XiongBi(5.3705)
fj:ZiCanTang_JinKui,紫参汤证（金匮）,lj:Jueyin_Instance,,3,【金匮12-35】(8.6184); zz:ZhiYin(6.0334); zz:KeNi(5.811)
fj:QianJinWeiJingTang_JinKui,葶苈大枣泻肺汤证（金匮）,lj:Taiyang_Instance,,3,【金匮12-36】(8.6184); zz:ZhiYin(6.0334); zz:KeNi(5.811)
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,lj:Taiyin_Instance,,4,【金匮12-37】(8.6184); zz:BuKe(6.811); zz:OuTu(6.6184); zz:ZhiYin(6.0334)
fj:XiaoBanXiaJiaFuLingTang,小半夏加茯苓汤证,lj:Taiyin_Instance,,4,【金匮12-38】(8.6184); zz:OuTu(6.6184); zz:ZhiYin(6.0334); zz:KeNi(5.811)
fj:FangJiJiaoMuZhuLiDaHuangWan,防己椒目葶苈大黄丸证,lj:Taiyin_Instance,,4,zz:KouSheGanZao(8.6184); zz:ChangJianYouShuiQi(8.6184); 【金匮12-39】(8.6184); zz:FuMan(5.6184)
fj:XiaoBanXiaJiaFuLingTang_JinKui,小半夏加茯苓汤证（金匮）,lj:Taiyin_Instance,,3,zz:GeJianYouShuiQi(8.6184); zz:OuTuXuanJi(8.6184); 【金匮12-40】(8.6184)
fj:WuLingSan_JinKui,五苓散证（金匮）,lj:Taiyang_Instance,,4,zz:QiXiaJi(8.6184); 【金匮12-41】(8.6184); zz:TouXuan(8.0334); zz:TuXianMo(7.2965)
fj:GanCaoMaHuangTang,甘草麻黄汤证,lj:Taiyang_Instance,【金匮14-5】,3,zz:LiShui(7.0334); zz:ShenMuHuangZhong(7.0334); mx:Pulse_Chen(5.7115)
fj:YueBiJiaZhuTang,越婢加术汤证,lj:Taiyang_Instance,【金匮14-5】,3,zz:LiShui(7.0334); zz:ShenMuHuangZhong(7.0334); mx:Pulse_Chen(5.7115)
fj:FangJiFuLingTang,防己茯苓汤证,lj:Taiyang_Instance,,4,zz:PiShui(8.6184); zz:SiZhiZhong(8.6184); zz:PiFuZhongHongHongDong(8.6184); 【金匮14-6】(8.6184)
fj:YueBiTang,越婢汤证,lj:Taiyang_Instance,【金匮14-7】,7,zz:ZiHanChu(8.0334); zz:YiShenXiZhong(7.6184); zz:WuDaRe(7.6184); zz:FengShui(7.2965); zz:BuKe(6.811); zz:EFeng(6.2965); mx:Pulse_Fu(5.9179)
fj:YueBiJiaBanXiaTang_JinKui,越婢加半夏汤证（金匮）,lj:Taiyang_Instance,【金匮14-7】,7,zz:ZiHanChu(8.0334); zz:YiShenXiZhong(7.6184); zz:WuDaRe(7.6184); zz:FengShui(7.2965); zz:BuKe(6.811); zz:EFeng(6.2965); mx:Pulse_Fu(5.9179)
pattern_id,pattern_name,liujing,clause,4,symptom_list(7.0334); pulse_list(7.0334); tongue_list(7.0334); jianjia_list(7.0334)
fj:FangJiHuangQiTang_JinKui,防己黄芪汤证（水气）,lj:Taiyang_Instance,【金匮14-7】,5,zz:FengShui(7.2965); zz:ShenZhong(7.2965); zz:EFeng(6.2965); mx:Pulse_Fu(5.9179); zz:HanChu(5.3705)
fj:HuangQiGuiZhiWuWuTang,黄芪桂枝五物汤证,lj:Taiyang_Instance,,4,zz:XueBi(9.6184); zz:ShenTiBuRen(9.6184); zz:RuFengBi(9.6184); 【金匮6-2】(9.6184)
fj:FuLingGanCaoTang_JinKui,茯苓甘草汤证（水气）,lj:Taiyin_Instance,,4,【金匮14-8】(8.6184); zz:ShuiQi(6.2965); zz:Ke(5.811); zz:XiaoBianBuLi(5.0948)
fj:MaHuangFuZiGanCaoTang_JinKui,麻黄附子甘草汤证（水气）,lj:Shaoyin_Instance,【金匮14-9】,3,zz:MaiChen(8.0334); zz:ShuiQi(6.2965); mx:Pulse_Chen(5.7115)
fj:MaHuangJiaZhuTang_JinKui,麻黄加术汤证（水气）,lj:Taiyang_Instance,【金匮14-9】,3,zz:ShenZhong(7.2965); zz:ShuiQi(6.2965); mx:Pulse_Fu(5.9179)
fj:YueBiTang_JinKui,越婢汤证（水气）,lj:Taiyang_Instance,【金匮14-10】,5,zz:YiShenXiZhong(7.6184); zz:WuDaRe(7.6184); zz:FengShui(7.2965); mx:Pulse_Fu(5.9179); zz:HanChu(5.3705)
fj:YueBiJiaZhuTang_JinKui,越婢加术汤证（水气）,lj:Taiyang_Instance,【金匮14-10】,3,zz:LiShui(7.0334); zz:ShenMuHuangZhong(7.0334); mx:Pulse_Chen(5.7115)
fj:GanCaoMaHuangTang_JinKui,甘草麻黄汤证（水气）,lj:Taiyang_Instance,【金匮14-10】,3,zz:LiShui(7.0334); zz:ShenMuHuangZhong(7.0334); mx:Pulse_Chen(5.7115)
fj:HuangQiShaoYaoGuiZhiTang,黄芪芍药桂枝汤证,lj:Taiyang_Instance,【金匮14-11】,5,zz:ShenTiZhong(8.6184); zz:Re(8.0334); zz:HuangHan(7.2965); zz:Ke(5.811); mx:Pulse_Chen(5.7115)
fj:GuiZhiJiaHuangQiTang_JinKui,桂枝加黄芪汤证（黄汗）,lj:Taiyang_Instance,,5,zz:YiShangHanChu(8.6184); 【金匮14-12】(8.6184); zz:YaoKuiChiTong(8.0334); zz:HuangHan(7.2965); zz:ShenZhong(7.2965)
fj:GuiZhiShaoYaoZhiMuTang_JinKui,桂枝芍药知母汤证（历节）,lj:Jueyin_Instance,,6,zz:ZhiJieTengTong(8.6184); zz:ShenTiWangLei(8.6184); zz:JiaoZhongRuTuo(8.6184); zz:TouXuanDuanQi(8.6184); zz:YuTu(8.6184); 【金匮5-8】(8.6184)
fj:WuTouTang_JinKui,乌头汤证（历节）,lj:Taiyang_Instance,,3,zz:LiJieBuKeQuShen(8.6184); zz:TengTong(8.6184); 【金匮5-10】(8.6184)
fj:GuiZhiLongGuMuLiTang_JinKui,桂枝龙骨牡蛎汤证（虚劳）,lj:Taiyang_Instance,【金匮6-8】,3,mx:Pulse_XuKongChi(9.6184); zz:YiJing(8.6184); zz:MengJiao(8.6184)
fj:TianXiongSan_JinKui,天雄散证（虚劳）,lj:Taiyang_Instance,,3,【金匮6-8】(9.6184); zz:YiJing(8.6184); zz:MengJiao(8.6184)
fj:QiWeiShuQiWan_JinKui,肾气丸证（虚劳）,lj:Shaoyin_Instance,,4,zz:XuLaoYaoTong(8.6184); zz:ShaoFuJuJi(8.6184); 【金匮6-15】(8.6184); zz:XiaoBianBuLi(5.0948)
fj:DaHuangZheChongWan_JinKui,大黄?虫丸证（虚劳）,lj:Jueyin_Instance,,3,zz:JiFuJiaCuo(8.6184); zz:LiangMuAnHei(8.6184); 【金匮6-18】(8.6184)
fj:SheGanMaHuangTang_JinKui,射干麻黄汤证（肺痿肺痈）,lj:Taiyang_Instance,,3,zz:HouZhongShuiJiSheng(8.6184); 【金匮7-6】(8.6184); zz:KeNiShangQi(7.6184)
fj:ZaoJiaoWan_JinKui,皂荚丸证（肺痿肺痈）,lj:Taiyang_Instance,,4,zz:ShiShiTuZhuo(8.6184); zz:DanZuoBuDeMian(8.6184); 【金匮7-7】(8.6184); zz:KeNiShangQi(7.6184)
fj:HouPoMaHuangTang_JinKui,厚朴麻黄汤证（肺痿肺痈）,lj:Taiyang_Instance,【金匮7-8】,2,mx:Pulse_Fu(5.9179); zz:Ke(5.811)
fj:ZeQiTang_JinKui,泽漆汤证（肺痿肺痈）,lj:Taiyin_Instance,【金匮7-9】,2,zz:Ke(5.811); mx:Pulse_Chen(5.7115)
fj:MaiMenDongTang_JinKui,麦门冬汤证（肺痿肺痈）,lj:Yangming_Instance,,3,zz:DaNiShangQi(8.6184); 【金匮7-10】(8.6184); zz:YanHouBuLi(8.0334)
fj:QianJinWeiJingTang_JinKui,葶苈大枣泻肺汤证（肺痈）,lj:Taiyang_Instance,,3,zz:TuNongRuMiZhou(9.6184); zz:FeiYong(8.6184); 【金匮7-11】(8.6184)
fj:YueBiJiaBanXiaTang_JinKui,越婢加半夏汤证（肺胀）,lj:Taiyang_Instance,【金匮7-13】,3,zz:MuRuTuoZhuang(8.6184); mx:Pulse_FuDa(8.6184); zz:FeiZhang(7.6184)
fj:XiaoQingLongJiaShiGaoTang_JinKui,小青龙加石膏汤证（肺胀）,lj:Taiyang_Instance,【金匮7-14】,3,zz:KeErQiChuan(8.6184); zz:FeiZhang(7.6184); mx:Pulse_Fu(5.9179)
fj:BenQiTang_JinKui,奔豚汤证（奔豚气）,lj:ChongRen,,5,zz:BenQi(8.6184); 【金匮8-2】(8.6184); zz:QiShangChongXiong(8.0334); zz:WangLaiHanRe(7.2965); zz:FuTong(5.2965)
fj:GuaLouXieBaiBaiJiuTang_JinKui,瓜蒌薤白白酒汤证（胸痹）,lj:Taiyin_Instance,【金匮9-3】,5,zz:ChuanXiKeChuo(8.6184); zz:XiongBeiTong(8.6184); mx:Pulse_ChenChi(8.6184); GuanShangXiaoJinShu(8.6184); zz:XiongBi(5.3705)
fj:GuaLouXieBaiBanXiaTang_JinKui,瓜蒌薤白半夏汤证（胸痹）,lj:Taiyin_Instance,,4,zz:XinTongCheBei(8.6184); 【金匮9-4】(8.6184); zz:BuDeWo(8.0334); zz:XiongBi(5.3705)
fj:ZhiShiXieBaiGuiZhiTang_JinKui,枳实薤白桂枝汤证（胸痹）,lj:Taiyin_Instance,,5,zz:XinZhongPi(7.6184); zz:XieXiaNiQiangXin(7.6184); 【金匮9-5】(7.6184); zz:XiongMan(6.0334); zz:XiongBi(5.3705)
fj:RenShenTang_JinKui,人参汤证（胸痹）,lj:Taiyin_Instance,,5,zz:XinZhongPi(7.6184); zz:XieXiaNiQiangXin(7.6184); 【金匮9-5】(7.6184); zz:XiongMan(6.0334); zz:XiongBi(5.3705)
fj:FuLingXingRenGanCaoTang_JinKui,茯苓杏仁甘草汤证（胸痹）,lj:Taiyin_Instance,,4,zz:XiongZhongQiSai(7.6184); 【金匮9-6】(7.6184); zz:DuanQi(6.811); zz:XiongBi(5.3705)
fj:JuPiZhiShiShengJiangTang_JinKui,橘皮枳实生姜汤证（胸痹）,lj:Taiyin_Instance,,4,zz:XiongZhongQiSai(7.6184); 【金匮9-6】(7.6184); zz:DuanQi(6.811); zz:XiongBi(5.3705)
fj:YiYiFuZiSan_JinKui,薏苡附子散证（胸痹）,lj:Taiyin_Instance,,3,zz:ShiHuanShiJi(8.6184); 【金匮9-7】(8.6184); zz:XiongBi(5.3705)
fj:GuiZhiShengJiangZhiShiTang_JinKui,桂枝生姜枳实汤证（胸痹）,lj:Taiyin_Instance,,3,zz:XinZhongXuanTong(8.6184); 【金匮9-8】(8.6184); zz:XiongBi(5.3705)
fj:WuTouChiShiZhiWan_JinKui,乌头赤石脂丸证（胸痹）,lj:Taiyin_Instance,,3,zz:XiongTongCheBei(8.6184); zz:CheBeiTongXiong(8.6184); 【金匮9-9】(8.6184)
