feature,weight,occurrence
zz:MaiWeiYuJue,9.6184,1
zz:XiaLiQingGu,9.6184,1
zz:ShenFanBuEHAN,9.6184,1
zz:LiHanWaiRe,9.6184,1
zz:SiZhiChenZhong,9.6184,1
zz:ZiXiaLi,9.6184,1
zz:GanOuFan,9.6184,1
zz:YuMao,9.6184,1
zz:ChangFu,9.6184,1
【金匮20-9】,9.6184,1
【金匮20-8】,9.6184,1
zz:XiaoBianNan,9.6184,1
【金匮20-7】,9.6184,1
【金匮20-6】,9.6184,1
zz:OuTuBuZhi,9.6184,1
【金匮20-5】,9.6184,1
【金匮20-4】,9.6184,1
zz:BanChanHouXuXiaXue,9.6184,1
zz:ZhengJia,9.6184,1
【金匮20-2】,9.6184,1
zz:Fan,9.6184,1
zz:JueNiErEHAN,9.6184,1
zz:ReBuQu,9.6184,1
zz:NeiJuJi,9.6184,1
zz:DaHanChu,9.6184,1
zz:SiZhiTeng,9.6184,1
zz:NeiYouJiuHan,9.6184,1
zz:JiErBuYuShi,9.6184,1
zz:QiShangZhuangXin,9.6184,1
zz:XinZhongTengRe,9.6184,1
zz:ShiZeTuHui,9.6184,1
zz:ZiLiQingShui,9.6184,1
zz:QiLi,9.6184,1
zz:GengFan,9.6184,1
zz:AnZhiXinXiaRu,9.6184,1
zz:XuJi,9.6184,1
zz:XiaZhong,9.6184,1
zz:HanGe,9.6184,1
zz:TuXia,9.6184,1
zz:TuNongXue,9.6184,1
zz:YiXia,9.6184,1
zz:JiBuNengShi,9.6184,1
zz:XinXiaMan,9.6184,1
zz:FaZuoYouShi,9.6184,1
zz:XinTong,9.6184,1
zz:TuOuXianMo,9.6184,1
zz:ChuanWeiWeiBing,9.6184,1
zz:BianNongXue,9.6184,1
zz:TaiDong,9.6184,1
zz:LouXiaBuZhi,9.6184,1
【金匮19-7】,9.6184,1
zz:ShaoFuZhongPi,9.6184,1
zz:AnZhiJiTong,9.6184,1
【金匮18-4】,9.6184,1
zz:RuZhongZhuang,9.6184,1
zz:ShenTiJiaCuo,9.6184,1
【金匮18-3】,9.6184,1
zz:FuPiJi,9.6184,1
zz:ShenYouChuang,9.6184,1
【金匮16-19】,9.6184,1
zz:JinChuang,9.6184,1
zz:JiaoLuanJi,9.6184,1
zz:KouJin,9.6184,1
zz:WoBuZhaoXi,9.6184,1
【金匮2-12】,9.6184,1
zz:XiaoBianFanShao,9.6184,1
zz:KouJinBuDeYu,9.6184,1
mx:Pulse_Chen_Chi,9.6184,1
zz:ShenTiQiangJiJi,9.6184,1
zz:Ren,9.6184,1
zz:ShiBuXiuXi,9.6184,1
zz:WeiFanErTu,9.6184,1
zz:YinDouYiDou,9.6184,1
zz:XiaoBianDuo,9.6184,1
zz:CheTong,9.6184,1
zz:BuOu,9.6184,1
BuKe,9.6184,1
zz:BuNengZiZhuanCe,9.6184,1
zz:FuShenZhong,9.6184,1
zz:ShenYiShenTeng,9.6184,1
zz:RiBuSuoJu,9.6184,1
【金匮2-21】,9.6184,1
zz:ShenFanTeng,9.6184,1
【金匮2-20】,9.6184,1
zz:JieChi,9.6184,1
【金匮2-13】,9.6184,1
【金匮16-18】,9.6184,1
zz:TuXueBuZhi,9.6184,1
zz:QiBuZu,9.6184,1
zz:TuXue,9.6184,1
【金匮16-17】,9.6184,1
【金匮16-16】,9.6184,1
zz:XianXueHouBian,9.6184,1
zz:SeXianHong,9.6184,1
zz:XianBianHouXue,9.6184,1
【金匮16-15】,9.6184,1
zz:SeAnDan,9.6184,1
【金匮15-21】,9.6184,1
zz:YaoYiXiaYouShuiQi,9.6184,1
zz:DaBingChaHou,9.6184,1
【金匮15-19】,9.6184,1
zz:MuBuDeBi,9.6184,1
【金匮3-7】,9.6184,1
BianFaRe,9.6184,1
mx:Pulse_WeiShu,9.6184,1
zz:XiaoBianChi,9.6184,1
【金匮3-3】,9.6184,1
【金匮3-2】,9.6184,1
【金匮3-1】,9.6184,1
zz:TengZhong,9.6184,1
【金匮2-24】,9.6184,1
【金匮4-2】,9.6184,1
zz:MianMuQing,9.6184,1
【金匮3-15】,9.6184,1
zz:ShenTongRuBeiZhang,9.6184,1
【金匮3-14】,9.6184,1
zz:TuoNongXue,9.6184,1
zz:MianChiBanBanRuJinWen,9.6184,1
zz:MuSiJieHei,9.6184,1
【金匮3-13】,9.6184,1
zz:MuChiRuJiuYan,9.6184,1
ShiYuGang,9.6184,1
ShiYuXiaBu,9.6184,1
YanGan,9.6184,1
zz:ShengGa,9.6184,1
zz:NueDuoHan,9.6184,1
zz:DuoHan,9.6184,1
【金匮4-5】,9.6184,1
zz:ShenWuHanDanRe,9.6184,1
zz:ShiZuoOu,9.6184,1
zz:DanRe,9.6184,1
zz:ShaoQi,9.6184,1
Fan,9.6184,1
zz:ShouZuRe,9.6184,1
【金匮4-4】,9.6184,1
zz:NueMu,9.6184,1
【金匮15-18】,9.6184,1
【金匮15-16】,9.6184,1
【金匮15-15】,9.6184,1
zz:EShangHei,9.6184,1
zz:NvLao,9.6184,1
zz:ZuXiaRe,9.6184,1
zz:ShenJinHuang,9.6184,1
【金匮15-14】,9.6184,1
【金匮15-13】,9.6184,1
【金匮9-10】,9.6184,1
zz:XinXiaTong,9.6184,1
zz:TuNongRuMiZhou,9.6184,1
【金匮6-8】,9.6184,1
mx:Pulse_XuKongChi,9.6184,1
zz:XueBi,9.6184,1
zz:ShenTiBuRen,9.6184,1
zz:RuFengBi,9.6184,1
【金匮6-2】,9.6184,1
【金匮7-5】,9.6184,1
TuNongRuMiZhou,9.6184,1
zz:OuErMaiRuo,9.6184,1
zz:ShenWeiRe,9.6184,1
zz:JianJue,9.6184,1
【金匮11-21】,9.6184,1
zz:XiaoBianFuLi,9.6184,1
【金匮11-18】,9.6184,1
【金匮11-17】,9.6184,1
【金匮10-20】,9.6184,1
zz:XuLao,9.6184,1
zz:QiNi,9.6184,1
zz:ShiJi,9.6184,1
zz:FuRenJingShuiBuDiao,9.6184,1
zz:FengHan,9.6184,1
zz:NanRenGuShan,9.6184,1
zz:NvRenYinTui,9.6184,1
zz:WeiQiXiaXie,9.6184,1
zz:YinChuiErXuan,9.6184,1
【金匮22-22】,9.6184,1
zz:RuShiQi,9.6184,1
mx:Pulse_Jin,9.6184,1
mx:Pulse_Cu,9.6184,1
zz:BiMing,9.6184,1
mx:Pulse_Huan,8.6184,2
zz:FuRenFuZhongZhuJiTong,8.6184,2
mx:Pulse_Xian,8.6184,2
zz:KouKu,8.6184,2
jj:Shi,8.6184,2
zz:DanTouHanChu,8.6184,2
zz:WoQiBuAn,8.6184,2
zz:JingKong,8.6184,2
【金匮9-8】,8.6184,2
zz:XinZhongXuanTong,8.6184,2
【金匮9-7】,8.6184,2
zz:ShiHuanShiJi,8.6184,2
【金匮9-4】,8.6184,2
zz:XinTongCheBei,8.6184,2
zz:ChuanXiKeChuo,8.6184,2
GuanShangXiaoJinShu,8.6184,2
mx:Pulse_ChenChi,8.6184,2
zz:XiongBeiTong,8.6184,2
zz:AnZhiRu,8.6184,2
zz:YinShiRuGu,8.6184,2
zz:SeAnBuMing,8.6184,2
zz:JinYeKuZao,8.6184,2
zz:ReTong,8.6184,2
【10.17】,8.6184,2
zz:OuNi,8.6184,2
zz:SiNiBuNi,8.6184,2
zz:SiOuBuOu,8.6184,2
【金匮11-11】,8.6184,2
zz:XinZhongFenFenRan,8.6184,2
【金匮10-19】,8.6184,2
【金匮10-18】,8.6184,2
【金匮10-17】,8.6184,2
mx:Pulse_XianJin,8.6184,2
zz:FuZhongHan,8.6184,2
【金匮10-14】,8.6184,2
zz:ShangChongPiQi,8.6184,2
【金匮10-10】,8.6184,2
mx:Pulse_FuShu,8.6184,2
zz:XiongTongCheBei,8.6184,2
zz:CheBeiTongXiong,8.6184,2
【金匮9-9】,8.6184,2
【金匮12-25】,8.6184,2
zz:TouYun,8.6184,2
zz:ShuiZhong,8.6184,2
【金匮11-22】,8.6184,2
【金匮11-20】,8.6184,2
【金匮11-19】,8.6184,2
zz:OuErChangMing,8.6184,2
【金匮11-16】,8.6184,2
【金匮11-15】,8.6184,2
【金匮11-14】,8.6184,2
【金匮11-13】,8.6184,2
zz:GanOuNi,8.6184,2
【金匮11-12】,8.6184,2
zz:XiongZhongSiChuanBuChuan,8.6184,2
zz:KuMaoXuan,8.6184,2
mx:Pulse_ChenXian,8.6184,2
zz:XinXiaYouTanYin,8.6184,2
zz:XiongXieZhiMan,8.6184,2
【金匮12-28】,8.6184,2
zz:KeXieYinTong,8.6184,2
zz:LiuYin,8.6184,2
【金匮12-27】,8.6184,2
zz:XinXiaJianMan,8.6184,2
zz:XinXiaYin,8.6184,2
【金匮12-26】,8.6184,2
zz:XinXiaYouZhiYin,8.6184,2
zz:GeJianYouShuiQi,8.6184,2
【金匮12-40】,8.6184,2
zz:OuTuXuanJi,8.6184,2
【金匮12-39】,8.6184,2
zz:ChangJianYouShuiQi,8.6184,2
zz:KouSheGanZao,8.6184,2
【金匮12-38】,8.6184,2
【金匮12-37】,8.6184,2
【金匮12-36】,8.6184,2
【金匮12-35】,8.6184,2
zz:ChangYuTaQiXiongShang,8.6184,2
【金匮12-34】,8.6184,2
【金匮12-33】,8.6184,2
【金匮12-32】,8.6184,2
【金匮12-31】,8.6184,2
【10.19】,8.6184,2
zz:YanZhongTong,8.6184,2
zz:ShouZuJueNi,8.6184,2
zz:MianChi,8.6184,2
zz:FuZhongJiaoTong,8.6184,2
zz:MuRuTuoZhuang,8.6184,2
mx:Pulse_FuDa,8.6184,2
zz:FeiYong,8.6184,2
【金匮7-11】,8.6184,2
zz:DaNiShangQi,8.6184,2
【金匮7-10】,8.6184,2
【金匮7-7】,8.6184,2
zz:DanZuoBuDeMian,8.6184,2
zz:PiShui,8.6184,2
【金匮14-6】,8.6184,2
zz:PiFuZhongHongHongDong,8.6184,2
【金匮12-41】,8.6184,2
zz:QiXiaJi,8.6184,2
zz:ShenTiZhong,8.6184,2
【金匮14-8】,8.6184,2
zz:SiZhiZhong,8.6184,2
zz:BenQi,8.6184,2
【金匮8-2】,8.6184,2
zz:KeErQiChuan,8.6184,2
zz:JueErXinXiaJi,8.6184,2
zz:ChuangYong,8.6184,2
zz:YouNong,8.6184,2
【金匮16-20】,8.6184,2
zz:PianYouDaXiao,8.6184,2
zz:ShiYouShangXia,8.6184,2
zz:GuJieTengFan,8.6184,2
mx:Pulse_FuXuErSe,8.6184,2
zz:ShenTiTengFan,8.6184,2
zz:XiaXue,8.6184,2
zz:JiFuJiaCuo,8.6184,2
【金匮6-18】,8.6184,2
zz:LiangMuAnHei,8.6184,2
【金匮6-15】,8.6184,2
zz:XuLaoYaoTong,8.6184,2
zz:ShaoFuJuJi,8.6184,2
【金匮5-10】,8.6184,2
zz:TengTong,8.6184,2
zz:LiJieBuKeQuShen,8.6184,2
zz:YuTu,8.6184,2
【金匮5-8】,8.6184,2
zz:TouXuanDuanQi,8.6184,2
zz:YiJing,8.6184,2
zz:MengJiao,8.6184,2
【金匮14-12】,8.6184,2
zz:YiShangHanChu,8.6184,2
BianChengKe,8.6184,2
【金匮3-6】,8.6184,2
mx:Pulse_WeiRuo,8.6184,2
zz:YanHouTong,8.6184,2
zz:NengShi,8.6184,2
zz:ShenTiWangLei,8.6184,2
zz:ZhiJieTengTong,8.6184,2
zz:JiaoZhongRuTuo,8.6184,2
zz:DanHanBuRe,8.6184,2
【金匮4-6】,8.6184,2
zz:ShiShiTuZhuo,8.6184,2
zz:HouZhongShuiJiSheng,8.6184,2
【金匮7-6】,8.6184,2
zz:ShaoFuJiJie,8.6184,2
jj:BloodStasis,8.6184,2
sx:SheJiang,8.6184,2
zz:DaBianNan,8.6184,2
zz:ShaoFuTong,8.6184,2
zz:XinJi,8.6184,2
zz:YangXu,8.6184,2
zz:JingShuiBuDiao,8.6184,2
zz:SiZhiJueNi,8.6184,2
zz:DaKe,8.0334,3
jj:Re,8.0334,3
zz:XieTongLiJi,8.0334,3
zz:NiLeng,8.0334,3
zz:GuShan,8.0334,3
zz:ShouZuBuRen,8.0334,3
zz:ShiRuKouJiTu,8.0334,3
zz:GuBuDeXia,8.0334,3
【金匮3-10】,8.0334,3
zz:HuHuoBing,8.0334,3
zz:DaBianJian,8.0334,3
zz:QiShangChongXiong,8.0334,3
zz:NiNi,8.0334,3
zz:Xu,8.0334,3
zz:XinZhongAoNong,8.0334,3
zz:XuFan,8.0334,3
zz:MaiChen,8.0334,3
zz:FuZhang,8.0334,3
zz:ShouZuJue,8.0334,3
zz:YanHouBuLi,8.0334,3
zz:RaoQiErTong,8.0334,3
zz:ZhuOu,8.0334,3
zz:XiongXieKuMan,8.0334,3
zz:XuanYin,8.0334,3
zz:BuDeWo,8.0334,3
zz:FaWeiRe,8.0334,3
zz:FuZhongHanTong,8.0334,3
zz:NiMan,8.0334,3
zz:XieXiaPianTong,8.0334,3
zz:FuManJuAn,8.0334,3
zz:XiaoBianZiLi,8.0334,3
zz:MuXuan,8.0334,3
zz:Ou,8.0334,3
zz:ZiHan,8.0334,3
zz:YaoKuiChiTong,8.0334,3
zz:LeiMing,8.0334,3
zz:TouTong,8.0334,3
zz:FuZhongQieTong,8.0334,3
zz:Re,8.0334,3
zz:ZiHanChu,8.0334,3
zz:TouXuan,8.0334,3
zz:ShouZuJueLeng,7.6184,4
zz:DaBianYing,7.6184,4
zz:ZhanYu,7.6184,4
mx:Pulse_Hong,7.6184,4
jj:WaterRetention,7.6184,4
zz:KeNiShangQi,7.6184,4
zz:FanZao,7.6184,4
zz:YuOu,7.6184,4
