Guizhitang	桂枝汤
Guizhijiafuzitang	桂枝加附子汤
Guizhiqushaoyaotang	桂枝去芍药汤
Guizhiqushaoyaojiafuzitang	桂枝去芍药加附子汤
Guizhixinjiatang	桂枝新加汤
Gegenjiabanxiantang	葛根加半夏汤
Mahuanglianqiaochixiaodoutang	麻黄连翘赤小豆汤
Guizhiermahuangyitang	桂枝二麻黄一汤
Guizhimahuanggebantang	桂枝麻黄各半汤
Daxianxiongtang	大陷胸汤
Xiaoxianxiongtang	小陷胸汤
Guizhirenshentang	桂枝人参汤
Houposhengjiangbanxiagancaorenshentang	厚朴生姜半夏人参汤
Dajianzhongtang	大建中汤
Biejiajianwan	鳖甲煎丸
Sheganmahuangtang	射干麻黄汤
Fangjifulingtang	防己茯苓汤
Yinchenwulingsan	茵陈五苓散
Jupizhuratang	橘皮竹茹汤
Fulingguizhigancaodazaotang	茯苓桂枝大枣汤
Zhigancaotang	炙汤
Baihujiarenshentang	白虎加人参汤
Mulizexiesan	牡蛎泽泻散
Chishizhiyuyuliangtang	赤石脂禹余粮汤
Daxianxiongwan	大陷胸丸
Sanwubaisan	三物白散
Shuyuwan	薯蓣丸
Yiyifuzisan	薏苡附子散
Guizhishengjiangzhishitang	桂枝生姜枳实汤
Wutouchishizhiwan	乌头赤石脂丸
Chiwan	赤丸
Dawutoujian	大乌头煎
Wutouguizhitang	乌头桂枝汤
Gancaoganjiangfulingbaizhutang	干姜茯苓白术汤
Gancaomahuangtang	麻黄汤
Huangqishaoyaoguizhikujiutang	黄芪芍药桂枝苦酒汤
Guizhijiahuangqitang	桂枝加黄芪汤
Zhizidahuangtang	栀子大黄汤
Dahuangxiaoshitang	大黄硝石汤
