总实例: 654

===== 含「痛」的实例 (45) =====
  Mianre                                     面热   [Mianre]

===== 含「烦」的实例 (18) =====
  Sizhifanzhong                              四肢烦重   [Sizhifanzhong]
  Sizhikufanre                               四肢苦烦热   [Sizhikufanre]
  Weifan                                     微烦   [Weifan]
  Xinfan                                     心烦   [Xinfan]
  Shouzhangfanre                             手掌烦热   [Shouzhangfanre]
  Shouzufanre                                手足烦热   [Shouzufanre]
  Fanluan                                    烦乱   [Fanluan]
  Fanman                                     烦满   [Fanman]
  Fanre                                      烦热   [Fanre]
  Fanzao                                     烦躁   [Fanzao]
  Fanzaoyusi                                 烦躁欲死   [Fanzaoyusi]
  Xiongzhongfan                              胸中烦   [Xiongzhongfan]
  Xijingtengfan                              膝胫疼烦   [Xijingtengfan]
  Xulaoxufanbudemian                         虚劳虚烦不得眠   [Xulaoxufanbudemian]
  Xufan                                      虚烦   [Xufan]
  Shentengfan                                身疼烦   [Shentengfan]
  Yuyuweifan                                 郁郁微烦   [Yuyuweifan]
  Gujietengfan                               骨节疼烦   [Gujietengfan]

===== 含「渴」的实例 (7) =====
  Buke                                       不渴   [Buke]
  Fanbuke                                    反不渴   [Fanbuke]
  Kouke                                      口渴   [Kouke]
  Oujiabenke                                 呕家本渴   [Oujiabenke]
  Dake                                       大渴   [Dake]
  Xiaoke                                     消渴   [Xiaoke]
  Zilierke                                   自利而渴   [Zilierke]

===== 含「饮」的实例 (10) =====
  Buyuyin                                    不欲饮   [Buyuyin]
  Bunengyinshi                               不能饮食   [Bunengyinshi]
  Danyuyinre                                 但欲饮热   [Danyuyinre]
  Xinxiayouzhiyin                            心下有支饮   [Xinxiayouzhiyin]
  Zhiyinxiongman                             支饮胸满   [Zhiyinxiongman]
  Yuyin                                      欲饮   [Yuyin]
  WaterRetentionPathomechanism               水饮病机   [WaterRetentionPathomechanism]
  Gexianzhiyin                               膈间支饮   [Gejianzhiyin]
  Yinshirugu                                 饮食如故   [Yinshirugu]
  Yinshihuoyoumeishi                         饮食或有美时   [Yinshihuoyoumeishi]

===== 含「利」的实例 (13) =====
  Xiali                                      下利   [Xiali]
  Xialibuzhi                                 下利不止   [Xialibuzhi]
  Xialirishushixing                          下利日数十行   [Xialirishushixing]
  Xialiqinggu                                下利清谷   [Xialiqinggu]
  Xialinongxue                               下利脓血   [Xialinongxue]
  Chanhouxiali                               产后下利   [Chanhouxiali]
  Lizhi                                      利止   [Lizhi]
  Tuli                                       吐利   [Tuli]
  Yanhoubuli                                 咽喉不利   [Yanhoubuli]
  Xiaobianbuli                               小便不利   [Xiaobianbuli]
  Xiaobianzili                               小便自利   [Xiaobianzili]
  Jingshuibuli                               经水不利   [Jingshuibuli]
  Zilierke                                   自利而渴   [Zilierke]

===== 含「血」的实例 (16) =====
  Xialinongxue                               下利脓血   [Xialinongxue]
  Xiaxue                                     下血   [Xiaxue]
  Wangxue                                    亡血   [Wangxue]
  Bianxue                                    便血   [Bianxue]
  Banchanhouxiaxuebuduan                     半产后下血不断   [Banchanhouxiaxuebuduan]
  Tunongxue                                  吐脓血   [Tunongxue]
  Tuxue                                      吐血   [Tuxue]
  Tuxuebuzhi                                 吐血不止   [Tuxuebuzhi]
  Renshenxiaxue                              妊娠下血   [Renshenxiaxue]
  Niaoxue                                    尿血   [Niaoxue]
  BloodStasisPathomechanism                  瘀血病机   [BloodStasisPathomechanism]
  Nongxue                                    脓血   [Nongxue]
  XueStage                                   血分   [XueStage]
  XueFengPathomechanism                      血分病机   [XueFengPathomechanism]
  Nvxue                                      衄血   [Nvxue]
  BlueTongue                                 青舌（瘀血）   [BlueTongue]

===== 含「脓」的实例 (6) =====
  Xialinongxue                               下利脓血   [Xialinongxue]
  Tunong                                     吐脓   [Tunong]
  Tunongrumizhou                             吐脓如米粥   [Tunongrumizhou]
  Tunongxue                                  吐脓血   [Tunongxue]
  Younong                                    有脓   [Younong]
  Nongxue                                    脓血   [Nongxue]

===== 含「疮」的实例 (5) =====
  Yanzhongshangshengchuang                   咽中伤生疮   [Yanzhongshangshengchuang]
  Shenyouchuang                              身有疮   [Shenyouchuang]
  Yinzhongjishengchuang                      阴中即生疮   [Yinzhongjishengchuang]
  Yinzhongshichuanglanzhe                    阴中蚀疮烂者   [Yinzhongshichuanglanzhe]
  Yinchuang                                  阴疮   [Yinchuang]

===== 含「咽」的实例 (8) =====
  Danyushushuibuyuyan                        但欲漱水不欲咽   [Danyushushuibuyuyan]
  Yanzhongshangshengchuang                   咽中伤生疮   [Yanzhongshangshengchuang]
  Yanzhongruyouzhiluan                       咽中如有炙脔   [Yanzhongruyouzhiluan]
  Yanhoubuli                                 咽喉不利   [Yanhoubuli]
  Yangan                                     咽干   [Yangan]
  Yantong                                    咽痛   [Yantong]
  Qishangchongxiongyan                       气上冲胸咽   [Qishangchongxiongyan]
  Qicongshaofushangchongxiongyan             气从少腹上冲胸咽   [Qicongshaofushangchongxiongyan]

===== 含「语」的实例 (5) =====
  Budeyu                                     不得语   [Budeyu]
  Duyubuxiu                                  独语不休   [Duyubuxiu]
  Yanyujianse                                言语謇涩   [Yanyujianse]
  Yuyannanchu                                语言难出   [Yuyannanchu]
  Zhanyu                                     谵语   [Zhanyu]

===== 含「言」的实例 (3) =====
  Shejinanyan                                舌即难言   [Shejinanyan]
  Yanyujianse                                言语謇涩   [Yanyujianse]
  Yuyannanchu                                语言难出   [Yuyannanchu]

===== 含「声」的实例 (5) =====
  Houzhongshuijisheng                        喉中水鸡声   [Houzhongshuijisheng]
  Shengbuchu                                 声不出   [Shengbuchu]
  Shenghe                                    声喝   [Shenghe]
  Shuizouchangjianliliyousheng               水走肠间沥沥有声   [Shuizouchangjianliliyousheng]
  Zhengsheng                                 郑声   [Zhengsheng]

===== 含「眩」的实例 (5) =====
  Touxuan                                    头眩   [Touxuan]
  Yanhuxuanmao                               奄忽眩冒   [Yanhuxuanmao]
  Muxuan                                     目眩   [Muxuan]
  Kumaoxuan                                  苦冒眩   [Kumaoxuan]
  Qizetouxuan                                起则头眩   [Qizetouxuan]

===== 含「重」的实例 (8) =====
  Yishenjinzhong                             一身尽重   [Yishenjinzhong]
  Xiazhong                                   下重   [Xiazhong]
  Sizhichenzhongtengtong                     四肢沉重疼痛   [Sizhichenzhongtengtong]
  Sizhifanzhong                              四肢烦重   [Sizhifanzhong]
  Touzhong                                   头重   [Touzhong]
  Fuzhongrudaiwuqianqian                     腹重如带五千钱   [Fuzhongrudaiwuqianqian]
  Shenzhong                                  身重   [Shenzhong]
  Lijihouchong                               里急后重   [Lijihouchong]

===== 含「冒」的实例 (3) =====
  Chashouzimaoxin                            叉手自冒心   [Chashouzimaoxin]
  Yanhuxuanmao                               奄忽眩冒   [Yanhuxuanmao]
  Kumaoxuan                                  苦冒眩   [Kumaoxuan]

===== 含「满」的实例 (15) =====
  Furenshaofuman                             妇人少腹满   [Furenshaofuman]
  Furenshaofumanrudunzhuang                  妇人少腹满如敦状   [Furenshaofumanrudunzhuang]
  Shaofuman                                  少腹满   [Shaofuman]
  Shaofuyingman                              少腹硬满   [Shaofuyingman]
  Xinxiaanzhimantong                         心下按之满痛   [Xinxiaanzhimantong]
  Xinxiaman                                  心下满   [Xinxiaman]
  Xinxianiman                                心下逆满   [Xinxianiman]
  Zhiyinxiongman                             支饮胸满   [Zhiyinxiongman]
  Fanman                                     烦满   [Fanman]
  Xiexiaman                                  胁下满   [Xiexiaman]
  Xiongman                                   胸满   [Xiongman]
  Xiongxiezhiman                             胸胁支满   [Xiongxiezhiman]
  Xiongxiemanweijie                          胸胁满微结   [Xiongxiemanweijie]
  Xiongxiekuman                              胸胁苦满   [Xiongxiekuman]
  Fuman                                      腹满   [Fuman]

===== 含「急」的实例 (15) =====
  Sizhiweiji                                 四肢微急   [Sizhiweiji]
  Shaofuxianji                               少腹弦急   [Shaofuxianji]
  Shaofujijie                                少腹急结   [Shaofujijie]
  Shaofujuji                                 少腹拘急   [Shaofujuji]
  Shaofuliji                                 少腹里急   [Shaofuliji]
  Xinxiaji                                   心下急   [Xinxiaji]
  Qichongjitong                              气冲急痛   [Qichongjitong]
  Xiongbihuanji                              胸痹缓急   [Xiongbihuanji]
  Jiaoluanji                                 脚挛急   [Jiaoluanji]
  Fuzhongjitong                              腹中急痛   [Fuzhongjitong]
