共 553 个症状实例

Fare	发热
Raoqihanshan	绕脐寒疝
Furugu	腹如鼓
Bangguangji	膀胱急
Dabiannan	大便难
Dabianying	大便硬
Dabiantang	大便溏
Dabianchuyinghoutang	大便初硬后溏
Bianxue	便血
Nongxue	脓血
Xiaobianbuli	小便不利
Xiaobianshu	小便数
Xiaobianzili	小便自利
Xiaobianchi	小便赤
Xiaobianhuang	小便黄
Xiaobiansebai	小便色白
Yiniao	遗尿
Xiali	下利
Xialiqinggu	下利清谷
Xiazhong	下重
Lijihouchong	里急后重
Shiqi	失气
Gubuhua	谷不化
Xiaobianyiyinteng	小便已阴疼
Xialirishushixing	下利日数十行
Dabianzhananzhayi	大便乍难乍易
Xiaobianfanduo	小便反多
Xiabaiwu	下白物
Niaoxue	尿血
Qingbianyuzike	清便欲自可
Budabian	不大便
Bugengyi	不更衣
Xialibuzhi	下利不止
Xialinongxue	下利脓血
Xiaobianfanshao	小便反少
Zilierke	自利而渴
Budeqianhou	不得前后
Outu	呕吐
Ou	呕
Weiou	微呕
Ganou	干呕
Tu	吐
Yuou	欲呕
Yutu	欲吐
Wenwenyutu	温温欲吐
Buou	不呕
Hui	哕
Yiqi	噫气
Aifu	嗳腐
Ye	噎
Qini	气逆
Qishangchong	气上冲
Qishangchongxiong	气上冲胸
Qishangchongxiongyan	气上冲胸咽
Qicongshaofushangchongxin	气从少腹上冲心
Qicongshaofushangchongxiongyan	气从少腹上冲胸咽
Ganyishichou	干噫食臭
Ji	饥
Tunsuan	吞酸
Shizetuhui	食则吐蛔
Xiou	喜呕
Tuli	吐利
Shibuxia	食不下
Buyushi	不欲食
Nengshi	能食
Yinshirugu	饮食如故
Bunengyinshi	不能饮食
Yinshihuoyoumeishi	饮食或有美时
Ewenshichou	恶闻食臭
Shouzujueni	手足厥逆
Shouzunileng	手足逆冷
Shouzuleng	手足冷
Shouzuzaorao	手足躁扰
Shouzufanre	手足烦热
Shouzhangfanre	手掌烦热
Shouzuburen	手足不仁
Sizhizhong	四肢肿
Sizhinieniedong	四肢聂聂动
Sizhifanzhong	四肢烦重
Sizhichenzhongtengtong	四肢沉重疼痛
Jiaozhong	脚肿
Jiaozhongrutuo	脚肿如脱
Zhuanjin	转筋
Jiaoluanji	脚挛急
Sizhiweiji	四肢微急
Sizhisuanteng	四肢酸疼
Jintirourun	筋惕肉瞤
Jinzhizetongju	近之则痛剧
Xijingtengfan	膝胫疼烦
Zuhan	足寒
Danbibusui	但臂不遂
Liangjingzileng	两胫自冷
Zuxiare	足下热
Shentong	身痛
Shentengfan	身疼烦
Shentizhong	身体肿
Shentiburen	身体不仁
Shentiwanglei	身体尪羸
Shenzhong	身重
Shenrundong	身瞤动
Shenhuang	身黄
Shentibunengzishouchi	身体不能自收持
Nanyizhuance	难以转侧
Yishenjinzhong	一身尽重
Shenruchongxingpizhong	身如虫行皮中
Pifusuqi	皮肤粟起
